1.000000,-0.035895,-0.010067,0.028627,0.032921,0.021249,0.022192,0.033465,0.021094,0.014578,0.016920,0.017818,0.000760,0.004704,0.001351
-0.035895,1.000000,0.046786,0.070825,0.098442,0.025430,0.048486,0.129145,0.015578,0.007665,0.095131,0.035526,0.016062,-0.010186,-0.013301
-0.010067,0.046786,1.000000,0.026419,0.021981,0.135957,0.016400,0.044305,0.040343,-0.005056,0.056828,0.012596,0.012646,-0.008890,-0.016919
0.028627,0.070825,0.026419,1.000000,-0.003549,0.008708,0.079303,0.113803,0.001869,-0.000228,0.072394,0.030181,0.014567,-0.015926,-0.017372
0.032921,0.098442,0.021981,-0.003549,1.000000,-0.036004,0.049949,0.171720,0.048113,0.018805,0.077207,0.041923,0.015996,-0.003001,-0.019955
0.021249,0.025430,0.135957,0.008708,-0.036004,1.000000,-0.009831,0.040294,0.206713,0.007423,0.025689,0.033044,0.005047,-0.007369,-0.003854
0.022192,0.048486,0.016400,0.079303,0.049949,-0.009831,1.000000,0.002273,-0.008128,0.008746,0.055519,0.011824,0.008818,-0.009249,-0.011902
0.033465,0.129145,0.044305,0.113803,0.171720,0.040294,0.002273,1.000000,0.043816,-0.013756,0.188666,0.087228,0.020917,-0.017255,-0.033527
0.021094,0.015578,0.040343,0.001869,0.048113,0.206713,-0.008128,0.043816,1.000000,0.008512,0.017495,0.206871,0.006608,0.003530,-0.000666
0.014578,0.007665,-0.005056,-0.000228,0.018805,0.007423,0.008746,-0.013756,0.008512,1.000000,0.132209,0.001327,0.003531,-0.004344,-0.010444
0.016920,0.095131,0.056828,0.072394,0.077207,0.025689,0.055519,0.188666,0.017495,0.132209,1.000000,0.007714,0.011845,-0.007993,-0.020919
0.017818,0.035526,0.012596,0.030181,0.041923,0.033044,0.011824,0.087228,0.206871,0.001327,0.007714,1.000000,0.003338,-0.007338,-0.016832
0.000760,0.016062,0.012646,0.014567,0.015996,0.005047,0.008818,0.020917,0.006608,0.003531,0.011845,0.003338,1.000000,0.035357,-0.009570
0.004704,-0.010186,-0.008890,-0.015926,-0.003001,-0.007369,-0.009249,-0.017255,0.003530,-0.004344,-0.007993,-0.007338,0.035357,1.000000,0.030121
0.001351,-0.013301,-0.016919,-0.017372,-0.019955,-0.003854,-0.011902,-0.033527,-0.000666,-0.010444,-0.020919,-0.016832,-0.009570,0.030121,1.000000
